DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
03/01/2017 00:00,10.50,280,14.77,52.7,1024.8,,
03/01/2017 00:06,10.30,283,14.77,52.5,1024.8,,
03/01/2017 00:12,10.11,286,16.33,52.5,1024.8,,
03/01/2017 00:18,9.52,284,16.33,52.5,1024.9,,
03/01/2017 00:24,11.86,284,16.91,52.5,1024.9,,
03/01/2017 00:30,11.86,284,15.75,52.3,1024.9,,
03/01/2017 00:36,11.47,289,14.19,52.5,1024.9,,
03/01/2017 00:42,8.94,289,14.38,52.5,1024.9,,
03/01/2017 00:48,9.91,284,14.00,52.5,1024.9,,
03/01/2017 00:54,10.11,279,14.19,52.7,1024.9,,
03/01/2017 01:00,8.75,278,11.86,52.7,1024.9,,
03/01/2017 01:06,7.97,280,13.22,52.7,1025.0,,
03/01/2017 01:12,7.19,275,13.02,52.7,1025.0,,
03/01/2017 01:18,8.36,287,12.25,52.5,1025.1,,
03/01/2017 01:24,8.36,292,12.63,52.3,1025.1,,
03/01/2017 01:30,7.97,286,10.11,52.3,1025.1,,
03/01/2017 01:36,7.00,277,10.30,52.3,1025.2,,
03/01/2017 01:42,5.05,282,9.14,52.3,1025.2,,
03/01/2017 01:48,5.64,290,8.16,52.2,1025.2,,
03/01/2017 01:54,6.61,272,9.52,52.2,1025.3,,
03/01/2017 02:00,5.83,291,9.52,52.2,1025.4,,
03/01/2017 02:06,5.25,290,9.91,52.2,1025.4,,
03/01/2017 02:12,3.69,263,7.58,52.0,1025.5,,
03/01/2017 02:18,5.25,263,7.39,51.8,1025.6,,
03/01/2017 02:24,5.05,258,7.19,51.8,1025.7,,
03/01/2017 02:30,5.44,256,7.97,51.8,1025.8,,
03/01/2017 02:36,4.08,254,7.19,51.6,1025.9,,
03/01/2017 02:42,3.50,252,7.39,51.6,1026.0,,
03/01/2017 02:48,4.47,248,5.83,51.6,1026.0,,
03/01/2017 02:54,3.30,249,5.64,51.4,1026.0,,
03/01/2017 03:00,2.92,234,4.86,51.4,1026.1,,
03/01/2017 03:06,2.53,238,5.05,51.3,1026.1,,
03/01/2017 03:12,1.94,200,3.30,50.9,1026.3,,
03/01/2017 03:18,3.30,188,3.69,50.7,1026.3,,
03/01/2017 03:24,2.92,189,3.89,50.5,1026.3,,
03/01/2017 03:30,1.94,183,2.92,50.0,1026.3,,
03/01/2017 03:36,3.69,182,4.08,49.6,1026.3,,
03/01/2017 03:42,2.72,182,4.28,49.1,1026.3,,
03/01/2017 03:48,3.89,190,4.28,49.1,1026.4,,
03/01/2017 03:54,3.89,205,4.28,49.1,1026.4,,
03/01/2017 04:00,2.92,209,3.69,48.9,1026.5,,
03/01/2017 04:06,3.50,200,4.28,48.7,1026.5,,
03/01/2017 04:12,3.69,200,4.28,48.6,1026.6,,
03/01/2017 04:18,3.30,205,4.08,48.6,1026.6,,
03/01/2017 04:24,3.50,212,4.67,48.6,1026.6,,
03/01/2017 04:30,2.92,200,4.08,48.6,1026.7,,
03/01/2017 04:36,2.72,203,3.30,48.4,1026.8,,
03/01/2017 04:42,2.53,198,3.50,48.7,1026.8,,
03/01/2017 04:48,2.33,200,3.30,48.4,1026.9,,
03/01/2017 04:54,2.33,193,3.50,48.4,1027.0,,
03/01/2017 05:00,2.33,191,3.89,48.2,1027.1,,
03/01/2017 05:06,1.36,189,2.53,48.2,1027.2,,
03/01/2017 05:12,2.33,182,3.50,48.4,1027.2,,
03/01/2017 05:18,3.11,193,4.08,48.4,1027.2,,
03/01/2017 05:24,2.53,186,2.72,48.2,1027.3,,
03/01/2017 05:30,2.72,189,3.69,47.8,1027.3,,
03/01/2017 05:36,2.72,202,2.92,47.7,1027.3,,
03/01/2017 05:42,2.72,197,3.11,47.5,1027.5,,
03/01/2017 05:48,2.53,208,2.92,47.1,1027.5,,
03/01/2017 05:54,2.92,192,3.30,46.9,1027.6,,
03/01/2017 06:00,3.11,191,3.50,46.8,1027.6,,
03/01/2017 06:06,2.72,210,3.50,46.6,1027.7,,
03/01/2017 06:12,3.30,201,3.50,46.6,1027.7,,
03/01/2017 06:18,3.11,203,3.50,46.6,1027.8,,
03/01/2017 06:24,,0,,,,,
03/01/2017 06:30,3.30,199,3.69,46.8,1027.8,,
03/01/2017 06:36,3.11,202,3.30,46.8,1027.9,,
03/01/2017 06:42,2.92,198,3.30,46.8,1027.9,,
03/01/2017 06:48,3.50,199,3.69,46.8,1027.9,,
03/01/2017 06:54,3.11,196,3.50,46.9,1027.9,,
03/01/2017 07:00,3.30,195,3.50,46.9,1027.9,,
03/01/2017 07:06,2.92,194,3.50,46.8,1028.0,,
03/01/2017 07:12,2.72,208,3.30,46.6,1027.9,,
03/01/2017 07:18,3.11,195,3.30,46.8,1027.9,,
03/01/2017 07:24,3.11,198,3.69,46.6,1027.9,,
03/01/2017 07:30,2.14,197,2.92,46.8,1027.9,,
03/01/2017 07:36,2.33,186,2.72,46.6,1027.9,,
03/01/2017 07:42,2.92,197,3.11,46.4,1028.0,,
03/01/2017 07:48,2.92,180,3.50,46.4,1028.0,,
03/01/2017 07:54,0.97,174,2.72,46.0,1028.0,,
03/01/2017 08:00,1.75,148,2.33,46.2,1028.0,,
03/01/2017 08:06,2.92,162,3.11,46.4,1028.1,,
03/01/2017 08:12,1.56,158,3.11,46.4,1028.1,,
03/01/2017 08:18,1.94,175,2.53,46.4,1028.2,,
03/01/2017 08:24,1.94,192,2.53,46.6,1028.2,,
03/01/2017 08:30,1.56,174,1.94,46.6,1028.3,,
03/01/2017 08:36,2.53,197,2.72,46.4,1028.3,,
03/01/2017 08:42,1.94,174,2.92,46.6,1028.3,,
03/01/2017 08:48,1.56,176,1.94,46.4,1028.4,,
03/01/2017 08:54,1.36,177,2.53,46.4,1028.5,,
03/01/2017 09:00,0.39,155,1.56,46.2,1028.5,,
03/01/2017 09:06,1.36,189,1.94,46.2,1028.6,,
03/01/2017 09:12,1.94,172,2.72,46.6,1028.6,,
03/01/2017 09:18,0.78,162,2.92,46.8,1028.6,,
03/01/2017 09:24,1.36,160,2.14,46.9,1028.6,,
03/01/2017 09:30,1.75,161,2.14,46.4,1028.6,,
03/01/2017 09:36,1.36,178,1.94,46.0,1028.6,,
03/01/2017 09:42,1.56,174,1.94,45.7,1028.6,,
03/01/2017 09:48,1.36,131,2.33,45.9,1028.6,,
03/01/2017 09:54,1.75,126,2.33,45.7,1028.6,,
03/01/2017 10:00,2.53,78,3.89,46.4,1028.7,,
03/01/2017 10:06,1.75,111,3.11,45.7,1028.7,,
03/01/2017 10:12,2.14,151,2.92,45.3,1028.6,,
03/01/2017 10:18,2.72,178,3.69,45.5,1028.6,,
03/01/2017 10:24,1.94,157,3.11,45.3,1028.6,,
03/01/2017 10:30,1.56,142,2.53,45.7,1028.6,,
03/01/2017 10:36,0.97,139,1.75,45.7,1028.6,,
03/01/2017 10:42,1.56,147,1.94,45.7,1028.6,,
03/01/2017 10:48,1.36,72,2.33,46.0,1028.6,,
03/01/2017 10:54,4.47,33,5.64,47.1,1028.6,,
03/01/2017 11:00,4.47,23,5.64,47.3,1028.5,,
03/01/2017 11:06,3.11,17,4.86,47.5,1028.5,,
03/01/2017 11:12,3.11,22,3.69,47.7,1028.5,,
