Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-03-01 00:00,2.298,0.069,0,0,0,0,p
2017-03-01 00:06,2.206,0.095,0,0,0,0,p
2017-03-01 00:12,2.055,0.082,0,0,0,0,p
2017-03-01 00:18,1.980,0.069,1,0,0,0,p
2017-03-01 00:24,1.940,0.079,0,0,0,0,p
2017-03-01 00:30,1.865,0.056,0,0,0,0,p
2017-03-01 00:36,1.730,0.075,0,0,0,0,p
2017-03-01 00:42,1.576,0.069,0,0,0,0,p
2017-03-01 00:48,1.461,0.062,0,0,0,0,p
2017-03-01 00:54,1.353,0.069,1,0,0,0,p
2017-03-01 01:00,1.258,0.089,0,0,0,0,p
2017-03-01 01:06,1.202,0.059,0,0,0,0,p
2017-03-01 01:12,1.064,0.062,0,0,0,0,p
2017-03-01 01:18,0.982,0.062,0,0,0,0,p
2017-03-01 01:24,0.953,0.056,0,0,0,0,p
2017-03-01 01:30,0.894,0.056,0,0,0,0,p
2017-03-01 01:36,0.858,0.059,0,0,0,0,p
2017-03-01 01:42,0.792,0.056,0,0,0,0,p
2017-03-01 01:48,0.753,0.072,0,0,0,0,p
2017-03-01 01:54,0.687,0.066,0,0,0,0,p
2017-03-01 02:00,0.651,0.066,0,0,0,0,p
2017-03-01 02:06,0.684,0.056,0,0,0,0,p
2017-03-01 02:12,0.684,0.059,0,0,0,0,p
2017-03-01 02:18,0.726,0.075,0,0,0,0,p
2017-03-01 02:24,0.700,0.069,0,0,0,0,p
2017-03-01 02:30,0.694,0.049,0,0,0,0,p
2017-03-01 02:36,0.694,0.075,0,0,0,0,p
2017-03-01 02:42,0.634,0.079,0,0,0,0,p
2017-03-01 02:48,0.595,0.056,0,0,0,0,p
2017-03-01 02:54,0.608,0.069,0,0,0,0,p
2017-03-01 03:00,0.631,0.059,0,0,0,0,p
2017-03-01 03:06,0.638,0.056,0,0,0,0,p
2017-03-01 03:12,0.634,0.072,0,0,0,0,p
2017-03-01 03:18,0.661,0.052,1,0,0,0,p
2017-03-01 03:24,0.674,0.066,0,0,0,0,p
2017-03-01 03:30,0.667,0.059,0,0,0,0,p
2017-03-01 03:36,0.700,0.059,0,0,0,0,p
2017-03-01 03:42,0.739,0.062,0,0,0,0,p
2017-03-01 03:48,0.799,0.069,0,0,0,0,p
2017-03-01 03:54,0.877,0.056,1,0,0,0,p
2017-03-01 04:00,0.930,0.075,0,0,0,0,p
2017-03-01 04:06,1.012,0.072,0,0,0,0,p
2017-03-01 04:12,1.091,0.102,0,0,0,0,p
2017-03-01 04:18,1.196,0.072,0,0,0,0,p
2017-03-01 04:24,1.297,0.062,0,0,0,0,p
2017-03-01 04:30,1.392,0.082,0,0,0,0,p
2017-03-01 04:36,1.458,0.072,0,0,0,0,p
2017-03-01 04:42,1.560,0.069,0,0,0,0,p
2017-03-01 04:48,1.671,0.072,0,0,0,0,p
2017-03-01 04:54,1.809,0.072,0,0,0,0,p
2017-03-01 05:00,1.921,0.082,0,0,0,0,p
2017-03-01 05:06,2.026,0.079,0,0,0,0,p
2017-03-01 05:12,2.121,0.075,0,0,0,0,p
2017-03-01 05:18,2.222,0.105,0,0,0,0,p
2017-03-01 05:24,2.308,0.082,0,0,0,0,p
2017-03-01 05:30,2.390,0.082,0,0,0,0,p
2017-03-01 05:36,2.488,0.102,0,0,0,0,p
2017-03-01 05:42,2.580,0.072,0,0,0,0,p
2017-03-01 05:48,2.705,0.082,0,0,0,0,p
2017-03-01 05:54,2.806,0.089,0,0,0,0,p
2017-03-01 06:00,2.895,0.075,0,0,0,0,p
2017-03-01 06:06,2.987,0.082,0,0,0,0,p
2017-03-01 06:12,3.141,0.079,0,0,0,0,p
2017-03-01 06:18,3.233,0.066,0,0,0,0,p
2017-03-01 06:24,3.312,,1,0,0,0,p
2017-03-01 06:30,3.413,0.085,0,0,0,0,p
2017-03-01 06:36,3.479,0.092,1,0,0,0,p
2017-03-01 06:42,3.554,0.082,0,0,0,0,p
2017-03-01 06:48,3.650,0.075,0,0,0,0,p
2017-03-01 06:54,3.755,0.092,0,0,0,0,p
2017-03-01 07:00,3.886,0.092,0,0,0,0,p
2017-03-01 07:06,3.994,0.082,0,0,0,0,p
2017-03-01 07:12,4.099,0.095,0,0,0,0,p
2017-03-01 07:18,4.184,0.098,0,0,0,0,p
2017-03-01 07:24,4.266,0.112,0,0,0,0,p
2017-03-01 07:30,4.345,0.112,0,0,0,0,p
2017-03-01 07:36,4.427,0.059,1,0,0,0,p
2017-03-01 07:42,4.526,0.092,0,0,0,0,p
2017-03-01 07:48,4.571,0.089,0,0,0,0,p
2017-03-01 07:54,4.634,0.082,0,0,0,0,p
2017-03-01 08:00,4.726,0.072,0,0,0,0,p
2017-03-01 08:06,4.811,0.066,1,0,0,0,p
2017-03-01 08:12,4.900,0.098,0,0,0,0,p
2017-03-01 08:18,4.978,0.079,0,0,0,0,p
2017-03-01 08:24,5.031,0.085,0,0,0,0,p
2017-03-01 08:30,5.093,0.066,0,0,0,0,p
2017-03-01 08:36,5.162,0.079,0,0,0,0,p
2017-03-01 08:42,5.182,0.112,0,0,0,0,p
2017-03-01 08:48,5.211,0.085,0,0,0,0,p
2017-03-01 08:54,5.251,0.082,0,0,0,0,p
2017-03-01 09:00,5.333,0.089,0,0,0,0,p
2017-03-01 09:06,5.346,0.089,0,0,0,0,p
2017-03-01 09:12,5.365,0.079,0,0,0,0,p
2017-03-01 09:18,5.392,0.085,0,0,0,0,p
2017-03-01 09:24,5.379,0.075,0,0,0,0,p
2017-03-01 09:30,5.379,0.089,0,0,0,0,p
2017-03-01 09:36,5.352,0.069,0,0,0,0,p
2017-03-01 09:42,5.329,0.092,0,0,0,0,p
2017-03-01 09:48,5.297,0.082,0,0,0,0,p
2017-03-01 09:54,5.267,0.075,0,0,0,0,p
2017-03-01 10:00,5.254,0.079,0,0,0,0,p
2017-03-01 10:06,5.205,0.056,0,0,0,0,p
2017-03-01 10:12,5.149,0.092,0,0,0,0,p
2017-03-01 10:18,5.080,0.066,0,0,0,0,p
2017-03-01 10:24,5.018,0.085,0,0,0,0,p
2017-03-01 10:30,4.942,0.085,0,0,0,0,p
2017-03-01 10:36,4.926,0.098,0,0,0,0,p
2017-03-01 10:42,4.900,0.069,0,0,0,0,p
2017-03-01 10:48,4.827,0.092,0,0,0,0,p
2017-03-01 10:54,4.749,0.082,0,0,0,0,p
2017-03-01 11:00,4.660,0.085,0,0,0,0,p
2017-03-01 11:06,4.516,0.082,0,0,0,0,p
2017-03-01 11:12,4.417,0.059,0,0,0,0,p
2017-03-01 11:18,4.358,0.089,0,0,0,0,p
2017-03-01 11:24,4.263,0.079,0,0,0,0,p
2017-03-01 11:30,4.175,0.082,0,0,0,0,p
2017-03-01 11:36,4.027,0.082,0,0,0,0,p
2017-03-01 11:42,3.879,0.066,0,0,0,0,p
2017-03-01 11:48,3.718,0.095,0,0,0,0,p
2017-03-01 11:54,3.591,0.079,0,0,0,0,p
2017-03-01 12:00,3.453,0.062,1,0,0,0,p
2017-03-01 12:06,3.328,0.072,0,0,0,0,p
2017-03-01 12:12,3.148,0.079,0,0,0,0,p
2017-03-01 12:18,3.003,0.069,0,0,0,0,p
